date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ddpg_mean,ddpg_sd
2019-08-13,1066563.9736551773,1033200.2596903164,1054594.7848865746,1056393.8321751596,1045689.0422434324,1051288.3785301321,11214.940003001355
2019-08-14,1063919.2950861382,1031711.1321354487,1053096.3488534573,1054822.267997468,1040214.9153589896,1048752.7918863003,11393.343226297196
2019-08-15,1056148.5541773548,1032963.0898000032,1058086.0788564188,1055258.1157358475,1046836.188640629,1049858.4054420507,9284.427146807633
2019-08-16,1058619.4226761484,1034401.6769485106,1062891.5936787685,1059378.654192009,1050799.3349184096,1053218.1364827692,10204.032492339651
2019-08-19,1061650.4625864504,1034132.5906687684,1061025.130535038,1058341.2262158429,1051760.0703648557,1053381.8960741912,10242.55102860343
2019-08-20,1056910.9083113917,1032437.60509922,1059888.4258560492,1052976.0996286029,1044196.7041053702,1049281.948600127,9939.182636672773
2019-08-21,1056317.4997559902,1035155.2810842596,1059553.0495346447,1054465.697646593,1045397.7582017296,1050177.8572446434,8860.046922097245
2019-08-22,1057637.016373949,1033974.5064394316,1057612.591559342,1053081.097131586,1042139.2250504218,1048888.887310946,9361.66757056082
2019-08-23,1056473.7307004356,1032458.993548876,1055213.1436117329,1051042.6561085964,1040288.7097578072,1047095.4467454895,9273.479440901934
2019-08-26,1053455.2293306922,1040107.2267170838,1051626.507736236,1049834.1952835526,1041306.1449656964,1047265.8608066521,5489.7016547235435
2019-08-27,1051572.1432771843,1040473.0236998338,1052378.9963949688,1050372.3035865938,1041432.392350794,1047245.7718618748,5186.678770896148
2019-08-28,1057781.501877623,1047809.7385991144,1057599.693470304,1056978.7391162857,1046333.8960011094,1053300.7138128872,5114.174755112941
2019-08-29,1058708.6838256964,1046451.6293654032,1058116.306049357,1056344.4058478635,1046818.1455546168,1053287.8341285873,5488.769425139528
2019-08-30,1061315.4695993178,1044338.417144622,1060073.5642220965,1056775.005401536,1047004.504192336,1053901.3921119818,6933.101183244167
2019-09-03,1060200.680976505,1043567.5908259688,1059223.1191086322,1055662.5719325396,1046197.095583688,1052970.2116854668,6825.1259602586515
2019-09-04,1059657.3277879904,1044952.7838538708,1058496.951823693,1059578.369680838,1048237.0076941102,1054184.4881681004,6296.668366575418
