date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,sac_mean,sac_sd
2021-05-24,983930.196362313,984828.8024321446,982063.3716765398,984433.4557963222,984587.5949668256,983968.6842468291,997.0520220141298
2021-05-25,987143.4912504442,988106.1460021076,985205.3490073507,987692.643373032,987851.9319461718,987199.9123158213,1046.0056515504882
2021-05-26,990472.059810376,991434.296950554,988600.1542271645,991031.2095889644,991193.7891940858,990546.301954229,1023.319414941647
2021-05-27,989396.817547499,990432.4292540576,987575.2463956012,990023.1067372372,990187.9612828656,989523.1122434523,1032.376663456783
2021-05-28,987524.561452547,988601.3238151214,985749.6837217316,988185.1833583324,988355.6063118462,987683.2717319157,1030.6037300035082
2021-06-01,988275.1821082976,989376.7012993266,986507.3251340603,988953.9942821064,989129.1029168512,988448.4611481285,1037.1597172984366
2021-06-02,988122.9530188512,989231.166647011,986347.1648444204,988811.9734098916,988982.5531968458,988299.1622234039,1043.0699144850726
2021-06-03,989732.8335570244,990837.8475171695,987914.4091685108,990415.6241459332,990590.9201486184,989898.3269074513,1057.6670979712808
2021-06-04,983074.2012683186,984217.454442446,981310.0530368028,983804.6073074712,983966.1801253824,983274.4992360843,1053.3536620657853
2021-06-07,991085.453458566,992222.1628959842,989291.085460607,991801.2624963165,991968.420315788,991273.6769254522,1060.8239759035835
2021-06-08,991447.7097206018,992633.4665196488,989628.5385005728,992210.9542097864,992380.6883189236,991660.2714539065,1090.1818084280499
2021-06-09,991942.7215006448,993119.4521727284,990099.0046955243,992703.7191140148,992741.2961761242,992121.2387318073,1080.8777546853369
2021-06-10,992853.6932435482,993918.1661017823,990897.06864588,993514.19742372,993410.7323436836,992918.7715517229,1066.4768804101934
2021-06-11,996282.0723406492,997384.1388412792,994296.4707169604,996975.2858314504,996873.703676669,996362.3342814017,1091.3777591401763
2021-06-14,993467.9736804996,994599.313217853,991435.710657086,994188.589206228,994081.1663677344,993554.5506258802,1119.6281807238606
2021-06-15,990512.3300220846,991671.9624372248,988508.6045939124,991248.0031921852,991144.3275115952,990617.0455514006,1117.6289240442884
2021-06-16,989145.2517095668,990306.02775338,987138.2028854026,989885.0883175868,989779.069637699,989250.728060727,1119.741316178657
2021-06-17,983468.955628784,984638.0868395172,981485.6107210176,984232.5525397916,984114.2016845472,983587.8814827316,1116.174783120107
2021-06-18,981070.2078832628,982226.052747198,979069.70287453,981847.0721889372,981696.3705984956,981181.8812584847,1119.9322141238667
2021-06-21,981131.2026900562,982226.7306959728,978878.1360578917,981889.5764319428,981727.2206270918,981170.5733005911,1199.9257268266815
2021-06-22,982834.7445147334,983985.2374175064,980554.3209639576,983586.3317879918,983458.7151954228,982883.8699759224,1221.975595113326
2021-06-23,983029.320768488,984193.1827388428,980744.618042974,983786.1084741328,983658.5084839474,983082.3477016769,1227.1093483868572
2021-06-24,981443.8580634528,982615.4551822026,979168.8196944252,982207.7030796072,982082.3141789328,981503.6300397242,1226.5122391212792
2021-06-25,983051.406392793,984231.5312226672,980765.7759689548,983813.5233333432,983689.0167978194,983110.2507431156,1231.8163028883505
2021-06-28,982593.462345356,983796.7732601572,980308.4612633263,983360.8759658216,983243.5392110992,982660.6224091521,1237.5910736557087
2021-06-29,985298.4715581676,986485.3566878892,982999.5215732866,986055.2363198232,985934.1974077588,985354.5567093851,1237.3342219081449
2021-06-30,983838.5892053844,985029.41909553,981494.2464883332,984603.7256485455,984473.433093467,983887.8827062522,1256.2109611848805
2021-07-01,984762.9171240812,985951.7216165242,982432.818223111,985525.1466011924,985401.095913738,984814.7398957293,1250.3963335353928
2021-07-02,985711.16309386,986923.3564082223,983362.9708386796,986482.8195385884,986366.8052134366,985769.4230185574,1264.2601521996262
2021-07-06,990625.9501908948,991843.9360628176,988249.2296228842,991391.9633899124,991279.5242166492,990678.1206966316,1275.3522385971662
2021-07-07,994385.4462589284,995569.1430351394,991991.8509786194,995131.3470509724,995015.2011473252,994418.597694197,1271.0547231853966
2021-07-08,997676.4605892912,998848.425048621,995266.4577689428,998410.203840498,998295.4220923386,997699.3938679382,1272.8296910913152
2021-07-09,998232.8294872128,999369.8953765624,995826.6583824608,998955.1801833558,998829.5632102808,998242.8253279745,1261.7416773942246
2021-07-12,997596.2278696216,998785.1306104588,995102.9883471914,998332.3638153108,998221.5704790694,997607.6562243305,1308.5892798466753
2021-07-13,997396.0305338746,998598.9667683444,994883.53763712,998137.239703358,998028.9695835036,997408.94884524,1319.7609329019826
2021-07-14,994977.958647559,996190.406783252,992480.9516456564,995727.6596404306,995623.1051511468,995000.016373609,1317.6423887161438
2021-07-15,1000892.3504694684,1002071.6237653831,998392.4125447898,1001614.1602625608,1001510.9677400672,1000896.3029564539,1307.210291255704
2021-07-16,1002637.2685706216,1003806.1807976358,1000132.5274684968,1003366.649029297,1003257.397299425,1002640.0046330953,1308.1744414818847
2021-07-19,998350.8873886552,999529.7095272788,995877.8918581556,999108.1442096872,998989.2063722962,998371.1678712147,1302.6251230796897
2021-07-20,1001060.310961798,1002158.6487817796,998519.373245526,1001790.3369536056,1001654.0924529248,1001036.5524791268,1307.3180581022216
2021-07-21,1001149.0006050232,1002301.7505855332,998586.8843773884,1001893.3909293816,1001768.3133319868,1001139.8679658627,1328.9484764100291
2021-07-22,998629.066352398,999831.9626024849,996073.283530928,999394.395959652,999277.565247782,998641.254738649,1340.486677311735
2021-07-23,1001558.4719877932,1002745.5024821836,998986.1755579192,1002315.3439818728,1002193.655600766,1001559.829922107,1341.793913791417
2021-07-26,1000867.5703159646,1002097.2676085936,998191.7103935932,1001633.7523430494,1001524.496263862,1000862.9593850125,1392.1826066920983
2021-07-27,1000613.8536682384,1001869.9131768268,997936.6494897444,1001399.7409608222,1001289.677187487,1000621.9668966237,1401.3661081887835
2021-07-28,1003471.08568457,1004695.5825483112,1000791.0019043052,1004246.449563126,1004127.4517993137,1003466.3142999252,1393.8531794092576
2021-07-29,1004141.5518360544,1005364.5888332188,1001462.881658293,1004914.1956144416,1004799.9847281828,1004136.6405340381,1392.9454472405585
2021-07-30,1006732.079103322,1007963.0490967544,1004028.2931683228,1007494.460510828,1007392.0901485932,1006721.9944055642,1403.002280238847
